Agency - Agency,Commodity - Commodity,Supplier - Common Supplier,Ordered Date,PO #,PO amount
EQUIPMENT LEASE - CAPITAL,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",23-Oct-14,PO508160,"29,932.80"
METROPOLITAN POLICE DEPARTMENT,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",25-Nov-14,PO505678-V2,"134,608.35"
METROPOLITAN POLICE DEPARTMENT,9625800:Professional Services (Not Otherwise Classified),ABC TOWING INC,1-Oct-14,PO505398,"37,500.00"
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,Kramer Consulting Services PC,28-Jan-15,PO514707,"175,000.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","TEAM TECHNOLOGY, INC",15-Oct-14,PO483678-V2,"6,500.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"6003850:COPIERS, COLOR, NEW",SHARP ELECTRONICS CORPORATION,28-Oct-14,PO498255-V4,"3,460.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","MVS, Inc.",6-Mar-15,PO516523,"13,000.00"
DEPARTMENT OF PUBLIC WORKS,"9980900:Automobile, Truck and Bus Parts and Equipment","E & M AUTO REPAIR, INC.",1-Oct-14,PO505847,"50,000.00"
DEPARTMENT OF PUBLIC WORKS,"8000800:Boots, Leather",SAF GARD SAFETY SHOE CO INC,16-Oct-14,PO507394,"15,000.00"
DEPARTMENT OF PUBLIC WORKS,"9242500:For Credit Classes, Seminars, Workshops, etc.",VILLANOVA UNIVERSITY,15-Jan-15,PO509370-V2,"5,470.00"
DEPARTMENT OF PUBLIC WORKS,"2045446:MICROCOMPUTERS, LAPTOP",Dell Computer Corp.,16-Jan-15,PO514286,"4,301.22"
DEPARTMENT OF PUBLIC WORKS,"6807745:PARTS AND ACCESSORIES, SPEED MEASURING DEVICES, RADAR, KUSTOM SIGNALS OR EQUAL",TONYS AUTO SERV./COMM SERV. OP,16-Oct-14,PO507393,"100,000.00"
HOMELAND SECURITY/EMERGENCY MANAGEMENT,"7854554:PAPER, DRAWING, SCHOOLROOM",American Business Supplies LLC,31-Dec-14,PO513624,139.8
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,ALFORD PSYCHOLOGICAL CONSULTIN,21-Jan-15,PO514397,900
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"OLENDER REPORTING, INC.",10-Feb-15,PO512489-V2,175
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,PRODUCT & HIGHWAY SAFETY INSTI,13-Feb-15,PO511826-V2,500
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,SUPERIOR COURT OF DC,19-Nov-14,PO510841,81
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9625800:Professional Services (Not Otherwise Classified),DOLCE INTER'L-BOLGER CENTER,6-Nov-14,PO507646-V3,0
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046447:HUBS, SWITCHES, AND CONVERTERS, COMPUTER","Networking For Future, Inc.",24-Dec-14,PO513399,"129,920.00"
DEPT. OF HOUSING AND COMM. DEVELOPMENT,"2083720:SOFTWARE, MICROCOMPUTER, DATABASE, APPLE COMPATIBLE, LATEST RELEASE OR VERSION LISTED",Dell Computer Corp.,23-Feb-15,PO515921,0
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"HI-TECH SOLUTION, INC.",18-Dec-14,PO513074,"15,570.00"
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",MFRI,15-Jan-15,PO514125,"2,414.43"
D.C. NATIONAL GUARD,"9621600:Bus Transportation Services, School",DIVERSIFIED TRANSPORTATION SRV,20-Feb-15,PO513488-V2,"10,600.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9812464:RENTAL OF RECYCLING COLLECTION EQUIPMENT AND CONTAINERS,"21st Century Security, LLC",20-Oct-14,PO507664,4.8
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),P& B REST HAVEN INC.,12-Nov-14,PO510132,"93,536.64"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),CHILDREN'S INSTITUTE,7-Oct-14,PO484179-V3,468.25
DEPARTMENT OF CORRECTIONS,"2075584:TONER, ELECTROSTATIC PLOTTER",THE HAMILTON GROUP,29-Dec-14,PO513489,185
DEPARTMENT OF PARKS AND RECREATION,"2324200:Kits and Supplies: Foil, Tin, etc.",EMERGENCY 911 SECURITY,21-Nov-14,PO511021,199.16
DEPARTMENT OF PARKS AND RECREATION,9625800:Professional Services (Not Otherwise Classified),Sonia Pessoa,8-Oct-14,PO506686,"3,360.00"
DEPT. OF CONSUMER AND REGULATORY AFFAIRS,9180600:Administrative Consulting,"OST, Inc.",30-Oct-14,PO508888,"23,410.00"
DEPARTMENT OF HEALTH,9520500:Alcohol and Drug Detoxification (Incl. Rehabilitation),Jessica Nash,4-Mar-15,PO516418,"40,078.00"
